facebook//0.	1	333	333	5038	5038	13592	13592	489	489
facebook//0.	2	333	299	5038	4978	47412	47348	210	210
facebook//0.	3	333	299	5038	4978	127505	127441	36	36
facebook//0.	4	333	270	5038	4870	270279	270120	9	9
facebook//0.	5	333	270	5038	4870	463390	463231	0	0
facebook//0.	6	333	257	5038	4794	662980	662744	0	0
facebook//0.	7	333	257	5038	4794	820822	820586	0	0
facebook//0.	8	333	236	5038	4662	915702	915285	0	0
facebook//0.	9	333	236	5038	4662	958318	957901	0	0
facebook//0.	10	333	216	5038	4476	972166	971293	0	0
facebook//348.	1	224	224	6384	6384	26919	26919	267	267
facebook//348.	2	224	217	6384	6370	138314	138300	216	216
facebook//348.	3	224	217	6384	6370	508196	508182	219	219
facebook//348.	4	224	210	6384	6344	1407033	1406994	45	45
facebook//348.	5	224	210	6384	6344	3049340	3049301	9	9
facebook//348.	6	224	196	6384	6270	5346129	5346019	6	6
facebook//348.	7	224	196	6384	6270	7827988	7827878	0	0
facebook//348.	8	224	191	6384	6230	9904451	9904286	0	0
facebook//348.	9	224	191	6384	6230	11243761	11243596	0	0
facebook//348.	10	224	185	6384	6170	11902705	11902440	0	0
facebook//3980.	1	52	52	292	292	366	366	27	27
facebook//3980.	2	52	42	292	276	474	456	0	0
facebook//3980.	3	52	42	292	276	513	495	0	0
facebook//3980.	4	52	36	292	254	519	481	0	0
facebook//3980.	5	52	36	292	254	519	481	0	0
facebook//3980.	6	52	28	292	222	519	448	0	0
facebook//3980.	7	52	28	292	222	519	448	0	0
facebook//3980.	8	52	21	292	170	519	372	0	0
facebook//3980.	9	52	21	292	170	519	372	0	0
facebook//3980.	10	52	10	292	74	519	207	0	0
facebook//414.	1	150	150	3386	3386	12461	12461	114	114
facebook//414.	2	150	147	3386	3382	58410	58405	72	72
facebook//414.	3	150	147	3386	3382	201777	201772	27	27
facebook//414.	4	150	142	3386	3362	532096	532072	30	30
facebook//414.	5	150	142	3386	3362	1104440	1104416	0	0
facebook//414.	6	150	136	3386	3328	1860131	1860070	0	0
facebook//414.	7	150	136	3386	3328	2627328	2627267	0	0
facebook//414.	8	150	133	3386	3304	3229452	3229357	0	0
facebook//414.	9	150	133	3386	3304	3595624	3595529	0	0
facebook//414.	10	150	130	3386	3274	3768170	3768035	0	0
facebook//686.	1	168	168	3312	3312	9769	9769	234	234
facebook//686.	2	168	160	3312	3296	35120	35104	84	84
facebook//686.	3	168	160	3312	3296	94011	93995	21	21
facebook//686.	4	168	156	3312	3280	198130	198098	0	0
facebook//686.	5	168	156	3312	3280	340728	340696	0	0
facebook//686.	6	168	148	3312	3240	492483	492409	0	0
facebook//686.	7	168	148	3312	3240	617372	617298	0	0
facebook//686.	8	168	142	3312	3192	696079	695941	0	0
facebook//686.	9	168	142	3312	3192	733519	733381	0	0
facebook//686.	10	168	141	3312	3182	746667	746519	0	0
facebook//698.	1	61	61	540	540	1010	1010	9	9
facebook//698.	2	61	59	540	536	2189	2185	0	0
facebook//698.	3	61	59	540	536	3642	3638	0	0
facebook//698.	4	61	59	540	536	4905	4901	0	0
facebook//698.	5	61	59	540	536	5664	5660	0	0
facebook//698.	6	61	46	540	474	5963	5891	0	0
facebook//698.	7	61	46	540	474	6032	5960	0	0
facebook//698.	8	61	41	540	454	6039	5936	0	0
facebook//698.	9	61	41	540	454	6039	5936	0	0
facebook//698.	10	61	34	540	414	6039	5841	0	0
