IMDB-BINARY/IMDB-BINARY.	1	1	20	20	73	73	233	233	0	0
IMDB-BINARY/IMDB-BINARY.	1	2	20	20	73	73	409	409	0	0
IMDB-BINARY/IMDB-BINARY.	1	3	20	17	73	66	562	546	0	0
IMDB-BINARY/IMDB-BINARY.	1	4	20	17	73	66	654	638	0	0
IMDB-BINARY/IMDB-BINARY.	1	5	20	12	73	51	691	613	0	0
IMDB-BINARY/IMDB-BINARY.	1	6	20	9	73	36	700	510	0	0
IMDB-BINARY/IMDB-BINARY.	1	7	20	9	73	36	701	511	0	0
IMDB-BINARY/IMDB-BINARY.	1	8	20	0	73	0	701	0	0	0
IMDB-BINARY/IMDB-BINARY.	1	9	20	0	73	0	701	0	0	0
IMDB-BINARY/IMDB-BINARY.	1	10	20	0	73	0	701	0	0	0
IMDB-BINARY/IMDB-BINARY.	2	1	32	32	128	128	429	429	0	0
IMDB-BINARY/IMDB-BINARY.	2	2	32	32	128	128	839	839	0	0
IMDB-BINARY/IMDB-BINARY.	2	3	32	32	128	128	1337	1337	0	0
IMDB-BINARY/IMDB-BINARY.	2	4	32	23	128	101	1808	1724	0	0
IMDB-BINARY/IMDB-BINARY.	2	5	32	16	128	75	2139	1939	0	0
IMDB-BINARY/IMDB-BINARY.	2	6	32	11	128	55	2304	1980	0	0
IMDB-BINARY/IMDB-BINARY.	2	7	32	11	128	55	2359	2035	0	0
IMDB-BINARY/IMDB-BINARY.	2	8	32	11	128	55	2370	2046	0	0
IMDB-BINARY/IMDB-BINARY.	2	9	32	11	128	55	2371	2047	0	0
IMDB-BINARY/IMDB-BINARY.	2	10	32	0	128	0	2371	0	0	0
IMDB-BINARY/IMDB-BINARY.	3	1	21	21	81	81	277	277	0	0
IMDB-BINARY/IMDB-BINARY.	3	2	21	21	81	81	537	537	0	0
IMDB-BINARY/IMDB-BINARY.	3	3	21	21	81	81	816	816	0	0
IMDB-BINARY/IMDB-BINARY.	3	4	21	21	81	81	1034	1034	0	0
IMDB-BINARY/IMDB-BINARY.	3	5	21	16	81	66	1155	1093	0	0
IMDB-BINARY/IMDB-BINARY.	3	6	21	10	81	45	1200	1012	0	0
IMDB-BINARY/IMDB-BINARY.	3	7	21	10	81	45	1210	1022	0	0
IMDB-BINARY/IMDB-BINARY.	3	8	21	10	81	45	1211	1023	0	0
IMDB-BINARY/IMDB-BINARY.	3	9	21	0	81	0	1211	0	0	0
IMDB-BINARY/IMDB-BINARY.	3	10	21	0	81	0	1211	0	0	0
IMDB-BINARY/IMDB-BINARY.	4	1	35	35	133	133	385	385	3	3
IMDB-BINARY/IMDB-BINARY.	4	2	35	35	133	133	573	573	0	0
IMDB-BINARY/IMDB-BINARY.	4	3	35	35	133	133	663	663	0	0
IMDB-BINARY/IMDB-BINARY.	4	4	35	35	133	133	685	685	0	0
IMDB-BINARY/IMDB-BINARY.	4	5	35	12	133	41	687	251	0	0
IMDB-BINARY/IMDB-BINARY.	4	6	35	0	133	0	687	0	0	0
IMDB-BINARY/IMDB-BINARY.	4	7	35	0	133	0	687	0	0	0
IMDB-BINARY/IMDB-BINARY.	4	8	35	0	133	0	687	0	0	0
IMDB-BINARY/IMDB-BINARY.	4	9	35	0	133	0	687	0	0	0
IMDB-BINARY/IMDB-BINARY.	4	10	35	0	133	0	687	0	0	0
IMDB-BINARY/IMDB-BINARY.	5	1	14	14	56	56	189	189	0	0
IMDB-BINARY/IMDB-BINARY.	5	2	14	14	56	56	350	350	0	0
IMDB-BINARY/IMDB-BINARY.	5	3	14	14	56	56	497	497	0	0
IMDB-BINARY/IMDB-BINARY.	5	4	14	14	56	56	588	588	0	0
IMDB-BINARY/IMDB-BINARY.	5	5	14	14	56	56	625	625	0	0
IMDB-BINARY/IMDB-BINARY.	5	6	14	9	56	36	634	510	0	0
IMDB-BINARY/IMDB-BINARY.	5	7	14	9	56	36	635	511	0	0
IMDB-BINARY/IMDB-BINARY.	5	8	14	0	56	0	635	0	0	0
IMDB-BINARY/IMDB-BINARY.	5	9	14	0	56	0	635	0	0	0
IMDB-BINARY/IMDB-BINARY.	5	10	14	0	56	0	635	0	0	0
IMDB-BINARY/IMDB-BINARY.	6	1	63	63	211	211	593	593	0	0
IMDB-BINARY/IMDB-BINARY.	6	2	63	63	211	211	879	879	0	0
IMDB-BINARY/IMDB-BINARY.	6	3	63	63	211	211	1041	1041	0	0
IMDB-BINARY/IMDB-BINARY.	6	4	63	60	211	202	1097	1069	0	0
IMDB-BINARY/IMDB-BINARY.	6	5	63	26	211	91	1108	632	0	0
IMDB-BINARY/IMDB-BINARY.	6	6	63	8	211	28	1109	255	0	0
IMDB-BINARY/IMDB-BINARY.	6	7	63	0	211	0	1109	0	0	0
IMDB-BINARY/IMDB-BINARY.	6	8	63	0	211	0	1109	0	0	0
IMDB-BINARY/IMDB-BINARY.	6	9	63	0	211	0	1109	0	0	0
